Country,Year,Reserve
Japan,2022,0
Jersey,2022,0
Jordan,2022,0
Kazakhstan,2022,30000
Kenya,2022,0
Kiribati,2022,0
Kuwait,2022,101500
Kyrgyzstan,2022,0
Laos,2022,0
Latvia,2022,0
Lebanon,2022,0
Lesotho,2022,0
Liberia,2022,0
Libya,2022,48363
Liechtenstein,2022,0
Lithuania,2022,0
Luxembourg,2022,0
Macao SAR China,2022,0
Madagascar,2022,0
Malawi,2022,0
Malaysia,2022,3600
Maldives,2022,0
Mali,2022,0
Malta,2022,0
Marshall Islands,2022,0
Martinique,2022,0
Mauritania,2022,0
Mauritius,2022,0
Mayotte,2022,0
Mexico,2022,5558
Micronesia,2022,0
Moldova,2022,0
Monaco,2022,0
Mongolia,2022,0
Montenegro,2022,0
Montserrat,2022,0
Morocco,2022,0
Mozambique,2022,0
Myanmar (Burma),2022,0
Namibia,2022,0
Nauru,2022,0
Nepal,2022,0
Netherlands,2022,0
New Caledonia,2022,0
New Zealand,2022,0
Nicaragua,2022,0
Niger,2022,0
Nigeria,2022,36967
Niue,2022,0
Norfolk Island,2022,0
North Korea,2022,0
North Macedonia,2022,0
Northern Mariana Islands,2022,0
Norway,2022,7573
Oman,2022,5373
Pakistan,2022,0
Palau,2022,0
Palestinian Territories,2022,0
Panama,2022,0
Papua New Guinea,2022,0
Paraguay,2022,0
Peru,2022,0
Philippines,2022,0
Pitcairn Islands,2022,0
Poland,2022,0
Portugal,2022,0
Puerto Rico,2022,0
Qatar,2022,25244
Réunion,2022,0
Romania,2022,0
Russia,2022,80000
Rwanda,2022,0
Samoa,2022,0
San Marino,2022,0
São Tomé & Príncipe,2022,0
Saudi Arabia,2022,267192
Senegal,2022,0
Serbia,2022,0
Seychelles,2022,0
Sierra Leone,2022,0
Singapore,2022,0
Sint Maarten,2022,0
Slovakia,2022,0
Slovenia,2022,0
Solomon Islands,2022,0
Somalia,2022,0
South Africa,2022,0
South Georgia & South Sandwich Islands,2022,0
South Korea,2022,0
South Sudan,2022,0
Spain,2022,0
Sri Lanka,2022,0
St. Barthélemy,2022,0
St. Helena,2022,0
St. Kitts & Nevis,2022,0
St. Lucia,2022,0
St. Martin,2022,0
St. Pierre & Miquelon,2022,0
St. Vincent & Grenadines,2022,0
Sudan,2022,0
Suriname,2022,0
Svalbard & Jan Mayen,2022,0
Sweden,2022,0
Switzerland,2022,0
Syria,2022,0
Taiwan,2022,0
Tajikistan,2022,0
Tanzania,2022,0
Thailand,2022,0
Timor-Leste,2022,0
Togo,2022,0
Tokelau,2022,0
Tonga,2022,0
Trinidad & Tobago,2022,0
Tunisia,2022,0
Turkey,2022,0
Turkmenistan,2022,600
Turks & Caicos Islands,2022,0
Tuvalu,2022,0
U.S. Outlying Islands,2022,0
U.S. Virgin Islands,2022,0
Uganda,2022,0
Ukraine,2022,395
United Arab Emirates,2022,113000
United Kingdom,2022,1800
United States,2022,55251
Uruguay,2022,0
Uzbekistan,2022,0
Vanuatu,2022,0
Vatican City,2022,0
Venezuela,2022,303221
Vietnam,2022,4400
Wallis & Futuna,2022,0
Western Sahara,2022,0
Yemen,2022,0
Zambia,2022,0
Zimbabwe,2022,0
